mesure,indicateur,id_indicateur,code_region,libelle_region,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,84,Auvergne-Rhône-Alpes,1248.0,2021-09-30,1055.0,2017-09-30,193.0,18.0,1187.0,5.0,2020-09-30,1286.0,84.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,84,Auvergne-Rhône-Alpes,37.0,2021-09-30,13.0,2017-09-30,24.0,185.0,30.0,23.0,2020-09-30,47.0,71.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,84,Auvergne-Rhône-Alpes,12229.0,2021-12-31,11196.0,2017-12-31,1033.0,9.0,12055.0,1.0,2020-12-31,18253.0,15.0,2021-12-31,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,84,Auvergne-Rhône-Alpes,2392.0,2021-11-30,0.0,2020-10-31,2392.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,84,Auvergne-Rhône-Alpes,14110.0,2021-12-31,0.0,2020-09-30,14110.0,,2925.0,382.0,2021-04-30,13272.0,100.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,84,Auvergne-Rhône-Alpes,3240.0,2021-12-31,0.0,2020-09-30,3240.0,,1463.0,121.0,2021-04-30,3885.0,83.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,84,Auvergne-Rhône-Alpes,73595.0,2021-09-30,35407.0,2017-12-31,38188.0,108.0,65148.0,13.0,2020-12-31,64722.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,84,Auvergne-Rhône-Alpes,276913.0,2021-07-31,281656.0,2019-07-31,-4743.0,-2.0,267078.0,4.0,2020-07-31,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,84,Auvergne-Rhône-Alpes,18853.0,2021-09-30,14277.0,2017-01-31,4576.0,32.0,15667.0,20.0,2021-02-28,26738.0,37.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,84,Auvergne-Rhône-Alpes,2707436.0,2021-12-31,0.0,2017-12-31,2707436.0,,,,,3617744.0,75.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,84,Auvergne-Rhône-Alpes,4995.0,2021-09-30,3809.0,2017-12-31,1186.0,31.0,4654.0,7.0,2020-09-30,5103.0,92.0,2022-03-31,kilomètres
Instaurer des zones à faibles émissions,Nombre d'habitants vivant à l'intérieur d'une zone à faibles émissions,nb-habitants-zfe,84,Auvergne-Rhône-Alpes,1197526.0,2021-12-31,0.0,2017-12-31,1197526.0,,,,,1030199.0,100.0,2022-12-31,habitants
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,84,Auvergne-Rhône-Alpes,171948.0,2021-12-31,0.0,2018-01-31,171948.0,,108885.0,58.0,2020-09-30,180043.0,96.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,84,Auvergne-Rhône-Alpes,5669.0,2021-11-30,3084.0,2019-09-30,2585.0,84.0,,,,12003.0,29.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,84,Auvergne-Rhône-Alpes,3780000.0,2021-06-30,790000.0,2017-06-30,2990000.0,378.0,2900000.0,30.0,2020-06-30,7870000.0,42.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,84,Auvergne-Rhône-Alpes,10.5,2020-12-31,8.0,2017-12-31,2.0,31.0,9.5,11.0,2019-12-31,15.0,36.0,2022-12-31,% de surface agricole
