mesure,indicateur,id_indicateur,code_region,libelle_region,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,84,Auvergne-Rhône-Alpes,1187.0,2020-09-30,1055.0,2017-09-30,132.0,13.0,1286.0,57.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,84,Auvergne-Rhône-Alpes,30.0,2020-09-30,13.0,2017-09-30,17.0,131.0,47.0,50.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,84,Auvergne-Rhône-Alpes,12055.0,2020-12-31,11196.0,2017-12-31,859.0,8.0,,,,jeunes
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,32,Hauts-de-France,1005.0,2020-09-30,938.0,2017-09-30,67.0,7.0,1109.0,39.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,32,Hauts-de-France,16.0,2020-09-30,5.0,2017-09-30,11.0,220.0,26.0,52.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,32,Hauts-de-France,15398.0,2020-12-31,13409.0,2017-12-31,1989.0,15.0,,,,jeunes
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,93,Provence-Alpes-Côte d'Azur,653.0,2020-09-30,578.0,2017-09-30,75.0,13.0,713.0,56.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,93,Provence-Alpes-Côte d'Azur,16.0,2020-09-30,7.0,2017-09-30,9.0,129.0,26.0,47.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,93,Provence-Alpes-Côte d'Azur,8676.0,2020-12-31,9525.0,2017-12-31,-849.0,-9.0,,,,jeunes
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,44,Grand Est,924.0,2020-09-30,815.0,2017-09-30,109.0,13.0,971.0,70.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,44,Grand Est,24.0,2020-09-30,11.0,2017-09-30,13.0,118.0,37.0,50.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,44,Grand Est,10560.0,2020-12-31,9856.0,2017-12-31,704.0,7.0,,,,jeunes
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,76,Occitanie,836.0,2020-09-30,700.0,2017-09-30,136.0,19.0,906.0,66.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,76,Occitanie,23.0,2020-09-30,13.0,2017-09-30,10.0,77.0,38.0,40.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,76,Occitanie,12072.0,2020-12-31,11737.0,2017-12-31,335.0,3.0,,,,jeunes
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de CP et CE1 en REP dédoublées,tx-classes-cp-ce1-rep,28,Normandie,100.0,2020-10-31,98.0,2019-10-31,2.0,2.0,100.0,100.0,2022-10-31,% des classes
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de grande section en REP dédoublées,tx-gs-rep,28,Normandie,26.0,2020-11-30,11.0,2019-11-30,15.0,136.0,76.0,23.0,2022-11-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,28,Normandie,31.0,2020-09-30,24.0,2018-03-31,7.0,29.0,34.0,70.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,28,Normandie,456.0,2020-09-30,395.0,2017-09-30,61.0,15.0,487.0,66.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,28,Normandie,13.0,2020-09-30,7.0,2017-09-30,6.0,86.0,18.0,55.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,28,Normandie,6327.0,2020-12-31,5396.0,2017-12-31,931.0,17.0,,,,jeunes
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,75,Nouvelle-Aquitaine,810.0,2020-09-30,752.0,2017-09-30,58.0,8.0,861.0,53.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,75,Nouvelle-Aquitaine,21.0,2020-09-30,13.0,2017-09-30,8.0,62.0,39.0,31.0,2022-09-30,classes
