mesure,indicateur,id_indicateur,code_region,libelle_region,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,84,Auvergne-Rhône-Alpes,10993.0,2022-10-31,0.0,2020-09-30,10993.0,,28739.0,38.0,2022-12-31,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,84,Auvergne-Rhône-Alpes,33.6,2022-06-30,0.0,2018-12-31,34.0,,,,,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,84,Auvergne-Rhône-Alpes,51.71,2022-06-30,0.0,2019-03-31,52.0,,,,,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,84,Auvergne-Rhône-Alpes,18.09,2022-06-30,0.0,2019-12-31,18.0,,,,,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Auvergne-Rhône-Alpes,341.0,2022-12-31,155.0,2017-06-30,186.0,120.0,292.0,100.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,84,Auvergne-Rhône-Alpes,50.0,2021-12-31,35.0,2017-12-31,15.0,43.0,75.0,38.0,2022-12-31,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité,nb-peres-conge-paternite,84,Auvergne-Rhône-Alpes,44237.0,2021-12-31,41070.0,2018-12-31,3167.0,8.0,46636.0,57.0,2022-12-31,pères / conjoints dans l'année
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Auvergne-Rhône-Alpes,1451.0,2022-12-31,0.0,2020-09-30,1451.0,,5815.0,25.0,2022-12-31,bénéficiaires
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,32,Hauts-de-France,9540.0,2022-10-31,0.0,2020-09-30,9540.0,,21672.0,44.0,2022-12-31,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,32,Hauts-de-France,43.11,2022-06-30,0.0,2018-12-31,43.0,,,,,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,32,Hauts-de-France,64.63,2022-06-30,0.0,2019-03-31,65.0,,,,,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,32,Hauts-de-France,21.57,2022-06-30,0.0,2019-12-31,22.0,,,,,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,32,Hauts-de-France,218.0,2022-12-31,77.0,2017-06-30,141.0,183.0,176.0,100.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,32,Hauts-de-France,72.0,2021-12-31,66.0,2017-12-31,6.0,9.0,73.0,86.0,2022-12-31,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité,nb-peres-conge-paternite,32,Hauts-de-France,31275.0,2021-12-31,29133.0,2018-12-31,2142.0,7.0,34420.0,41.0,2022-12-31,pères / conjoints dans l'année
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,32,Hauts-de-France,919.0,2022-12-31,0.0,2020-09-30,919.0,,5290.0,17.0,2022-12-31,bénéficiaires
