mesure,indicateur,id_indicateur,code_region,libelle_region,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,84,Auvergne-Rhône-Alpes,7688044.0,2022-01-31,6953065.0,2017-12-31,734979.0,11.0,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,84,Auvergne-Rhône-Alpes,2872.0,2021-12-31,2478.0,2017-12-31,394.0,16.0,,,,atteintes aux personnes dans l'année
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,84,Auvergne-Rhône-Alpes,13377.0,2021-12-31,12359.0,2017-12-31,1018.0,8.0,,,,atteintes aux biens dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,84,Auvergne-Rhône-Alpes,12088.0,2021-12-31,0.0,2020-05-31,12088.0,,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,84,Auvergne-Rhône-Alpes,309.0,2020-12-31,132.0,2017-12-31,177.0,134.0,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,84,Auvergne-Rhône-Alpes,286.0,2021-12-31,997.0,2018-12-31,-711.0,-71.0,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,84,Auvergne-Rhône-Alpes,347.0,2021-12-31,410.0,2017-12-31,-63.0,-15.0,,,,morts
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,32,Hauts-de-France,5721940.0,2022-01-31,3796842.0,2017-12-31,1925098.0,51.0,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,32,Hauts-de-France,1323.0,2021-12-31,1412.0,2017-12-31,-89.0,-6.0,,,,atteintes aux personnes dans l'année
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,32,Hauts-de-France,3422.0,2021-12-31,3905.0,2017-12-31,-483.0,-12.0,,,,atteintes aux biens dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,32,Hauts-de-France,9305.0,2021-12-31,0.0,2020-05-31,9305.0,,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,32,Hauts-de-France,200.0,2020-12-31,53.0,2017-12-31,147.0,277.0,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,32,Hauts-de-France,96.0,2021-12-31,268.0,2018-12-31,-172.0,-64.0,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,32,Hauts-de-France,256.0,2021-12-31,289.0,2017-12-31,-33.0,-11.0,,,,morts
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,93,Provence-Alpes-Côte d'Azur,5308271.0,2022-01-31,3541725.0,2017-12-31,1766546.0,50.0,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,93,Provence-Alpes-Côte d'Azur,1417.0,2021-12-31,1475.0,2017-12-31,-58.0,-4.0,,,,atteintes aux personnes dans l'année
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,93,Provence-Alpes-Côte d'Azur,6042.0,2021-12-31,8575.0,2017-12-31,-2533.0,-30.0,,,,atteintes aux biens dans l'année
